name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;409;0;457;3169;970;3169;970;0
header;128;200;128;237;1762;237;1762;200
A;931;259;931;290;954;290;954;259
D;613;532;613;558;642;558;642;532
B;419;759;419;775;441;775;441;759
B;452;780;452;792;460;792;460;780
A;916;936;916;937;916;937;916;936
A;722;1118;722;1118;722;1118;722;1118
A;832;1553;832;1558;836;1558;836;1553
A;628;1581;628;1582;628;1582;628;1581
A;486;1624;486;1625;488;1625;488;1624
A;595;1718;595;1719;595;1719;595;1718
A;452;1810;452;1810;453;1810;453;1810
A;873;2037;873;2039;875;2039;875;2037
A;920;2129;920;2130;920;2130;920;2129
D;935;2339;935;2367;955;2367;955;2339
A;770;2352;770;2354;770;2354;770;2352
A;672;2354;672;2357;674;2357;674;2354
A;700;2923;700;2938;708;2938;708;2923
