name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;324;0;281;3171;1883;3171;1859;0
header;263;210;263;249;1861;249;1861;210
D;1163;264;1163;281;1184;281;1184;264
A;1069;269;1069;295;1091;295;1091;269
A;466;683;466;683;466;683;466;683
D;368;692;368;712;385;712;385;692
A;660;857;660;858;662;858;662;857
B;1073;942;1073;969;1093;969;1093;942
A;1650;1007;1650;1008;1650;1008;1650;1007
A;1184;1119;1184;1125;1190;1125;1190;1119
A;1136;1138;1136;1138;1136;1138;1136;1138
B;460;1290;460;1307;474;1307;474;1290
A;401;1576;401;1587;408;1587;408;1576
C;1075;1611;1075;1640;1095;1640;1095;1611
B;1857;2019;1857;2045;1876;2045;1876;2019
A;1872;2241;1872;2242;1874;2242;1874;2241
D;1081;2293;1081;2321;1102;2321;1102;2293
A;1661;2542;1661;2547;1667;2547;1667;2542
B;744;2946;744;2962;765;2962;765;2946
